0,ArcFace,198.8774061203003
5,DenseNet-121,211.17782592773438
6,DUC,1373.3976364135742
11,MobileNet-v2,76.96330547332764
12,ResNet018-v1,47.68943786621094
13,ResNet018-v2,57.243943214416504
14,ResNet034-v1,78.67052555084229
15,ResNet034-v2,88.19127082824707
16,ResNet050-v1,148.57990741729736
17,ResNet050-v2,154.74259853363037
18,ResNet101-v1,246.92177772521973
19,ResNet101-v2,246.92389965057373
20,ResNet152-v1,353.70802879333496
21,ResNet152-v2,346.10650539398193
23,Squeezenet-v1.1,26.986169815063477
