0,ArcFace,9.484696388244629
1,BVLC_AlexNet,1.129150390625
2,BVLC_CaffeNet,1.1033058166503906
3,BVLC_GoogleNet,4.5787811279296875
4,BVLC_RCNN_ILSVRC13,1.0424375534057617
5,DenseNet-121,13.27214241027832
6,DUC,25.065064430236816
8,Inception-v1,4.208087921142578
9,Inception-v2,5.446791648864746
11,MobileNet-v2,2.743697166442871
12,ResNet018-v1,1.9449234008789062
13,ResNet018-v2,2.0184993743896484
14,ResNet034-v1,3.1749963760375977
15,ResNet034-v2,3.2583236694335938
16,ResNet050-v1,4.545402526855469
17,ResNet050-v2,4.628610610961914
18,ResNet101-v1,8.916211128234863
19,ResNet101-v2,8.170843124389648
20,ResNet152-v1,11.799478530883789
21,ResNet152-v2,11.747384071350098
22,Shufflenet,3.050112724304199
23,Squeezenet-v1.1,1.294255256652832
25,VGG16-BN,4.002237319946289
26,VGG16,3.5584449768066406
27,VGG19-BN,4.66921329498291
28,VGG19,4.328775405883789
29,Zfnet512,1.5659093856811523
