0,ArcFace,53.80258560180664
5,DenseNet-121,59.21273231506348
6,DUC,368.1757926940918
11,MobileNet-v2,20.7033634185791
12,ResNet018-v1,11.55703067779541
13,ResNet018-v2,13.9573335647583
14,ResNet034-v1,19.168734550476074
15,ResNet034-v2,21.4979887008667
16,ResNet050-v1,38.675546646118164
17,ResNet050-v2,41.29147529602051
18,ResNet101-v1,64.92202281951904
19,ResNet101-v2,65.89398384094238
20,ResNet152-v1,93.53876113891602
21,ResNet152-v2,92.6295280456543
23,Squeezenet-v1.1,7.603931427001953
25,VGG16-BN,59.04054641723633
26,VGG16,49.070072174072266
27,VGG19-BN,68.61155033111572
28,VGG19,58.00189971923828
