1,ArcFace,1,23.85997772216797,23.88002872467041,23.90432357788086
2,BVLC_AlexNet,1,2.5789737701416016,2.599891026814779,2.620697021484375
3,BVLC_CaffeNet,1,2.5010108947753906,2.513615290323893,2.5374889373779297
4,BVLC_GoogleNet,1,7.212638854980469,7.245198885599772,7.281064987182617
5,BVLC_RCNN_ILSVRC13,1,2.4344921112060547,2.4496237436930337,2.482175827026367
6,DenseNet-121,1,20.172595977783203,20.204973220825195,20.24555206298828
7,DUC,1,620.959997177124,621.0111935933431,621.1404800415039
8,Emotion-FerPlus,1,2.379894256591797,2.409942944844564,2.4518966674804688
9,Inception-v1,1,7.242918014526367,7.256007194519043,7.340908050537109
10,Inception-v2,1,10.98322868347168,11.0396941502889,11.081933975219727
11,mnist,1,0.00011277198791503906,0.00011277198791503906,0.00011277198791503906
12,MobileNet-v2,1,4.916667938232422,4.92556889851888,4.937887191772461
13,ResNet018-v1,1,4.497528076171875,4.506961504618327,4.530191421508789
14,ResNet018-v2,1,4.635810852050781,4.651276270548503,4.704475402832031
15,ResNet034-v1,1,7.931947708129883,7.952523231506348,7.979869842529297
16,ResNet034-v2,1,8.071422576904297,8.10092290242513,8.21065902709961
17,ResNet050-v1,1,11.417150497436523,11.427887280782064,11.45482063293457
18,ResNet050-v2,1,11.956930160522461,11.97665532430013,12.08043098449707
19,ResNet101-v1,1,22.3085880279541,22.337945302327473,22.368907928466797
20,ResNet101-v2,1,22.52650260925293,22.554906209309895,22.64261245727539
21,ResNet152-v1,1,32.62758255004883,32.6725959777832,33.02907943725586
22,ResNet152-v2,1,32.431840896606445,32.465434074401855,32.503604888916016
23,Shufflenet,1,2.90679931640625,2.948768933614095,2.996683120727539
24,Squeezenet-v1.1,1,2.1333694458007812,2.1412134170532227,2.1514892578125
25,Tiny_YOLO-v2,1,4.750728607177734,4.760805765787761,4.778146743774414
26,VGG16-BN,1,15.519857406616211,15.53483804066976,15.557050704956055
27,VGG16,1,14.473676681518555,14.486177762349447,14.50347900390625
28,VGG19-BN,1,18.7990665435791,18.839430809020996,19.236087799072266
29,VGG19,1,17.620086669921875,17.63739585876465,17.66037940979004
30,Zfnet512,1,4.006147384643555,4.017376899719238,4.040718078613281
